Region,U-wide/ Faculty,Country,University Name,Regular semester workload for full-time undergraduate students,Units,Conversion,Remarks
Americas,BIZ,Brazil,FGV EAESP - Fundação Getulio Vargas São Paulo School of Business Administration,28,FGV credits,0.7142857142857143,No Change by BIZ
Americas,CDE,Brazil,University of Sao Paulo,20,credits,1,GRO's Info tallies with PVO's search
Americas,U-wide,Canada,Concordia University,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,Canada,Dalhousie University ,15,credit hours,1.3333333333333333,GRO Info & FASS website Tallies
Americas,BIZ,Canada,HEC Montréal,15,units,1.3333333333333333,GRO Info - Verified by PVO
Americas,U-wide,Canada,McGill University,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,Canada,McMaster University,15,units,1.3333333333333333,GRO Info - Verified by PVO
Americas,U-wide,Canada,Queen’s University at Kingston,15,units,1.3333333333333333,GRO Info & FASS website Tallies
Americas,BIZ,Canada,Queen's University Smith School of Business,15,Queen’s units,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,Canada,Simon Fraser University,15,units,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,Canada,University of Alberta,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,Canada,University of British Columbia ,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,Canada,University of Calgary,15,units,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,Canada,University of Guelph,2.5,academic units,8,GRO Info & FASS website Tallies
Americas,U-wide,Canada,University of Ottawa,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,Canada,University of Toronto,2.5,credits,8,GRO Info & FASS website Tallies
Americas,U-wide,Canada,University of Victoria,7.5,units,2.6666666666666665,GRO Info & FASS website Tallies
Americas,U-wide,Canada,University of Waterloo,2.5,credits,8,GRO Info & FASS website Tallies
Americas,U-wide,Canada,Western University,2.5,credits,8,GRO Info & FASS website Tallies
Americas,BIZ,Canada,Western University Ivey Business School,2.5,credits,8,GRO's Info tallies with PVO's search
Americas,U-wide,Canada,York University,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,BIZ,Canada,York University Schulich School of Business,15,SSB credits,1.3333333333333333,No Change by BIZ
Americas,BIZ,Mexico,ITAM – Autonomous Technological Institute of Mexico,24,credits,0.8333333333333334,GRO's Info tallies with PVO's search
Americas,U-wide,Mexico,Monterrey Institute of Technology and Higher Education,18,units,1.1111111111111112,GRO Info - Verified by PVO
Americas,NUSC,USA,Amherst College,16,credits,1.25,GRO Info - Verified by PVO
Americas,U-wide,USA,Arizona State University,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,USA,Boston College,15,credits,1.3333333333333333,Verified by PVO
Americas,U-wide,USA,Boston University,16,credits,1.25,GRO Info & FASS website Tallies
Americas,U-wide,USA,Brandeis University,16,credits,1.25,GRO Info & FASS website Tallies
Americas,U-wide,USA,Carleton College,2.5,credits,8,GRO's Info tallies with PVO's search
Americas,U-wide,USA,Carnegie Mellon University,45,units,0.4444444444444444,GRO Info & FASS website Tallies
Americas,U-wide,USA,Case Western Reserve University,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,USA,Clarkson University,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,FoS,USA,Colgate University,4,credits,5,GRO Info - Verified by PVO
Americas,U-wide,USA,College of William & Mary,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,CDE,USA,Cooper Union for the Advancement of Science and Art,17,credits,1.1764705882352942,GRO Info - Verified by PVO
Americas,U-wide,USA,Cornell University,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,USA,Emory University,15,credits,1.3333333333333333,GRO's Info tallies with PVO's search
Americas,CDE,USA,Franklin W. Olin College of Engineering,16,credits,1.25,GRO Info - Verified by PVO
Americas,U-wide,USA,George Washington University ,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,USA,Georgetown University,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,USA,Georgia Institute of Technology,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,CDE,USA,Iowa State University,15,credits,1.3333333333333333,GRO's Info tallies with PVO's search
Americas,CDE,USA,John Hopkins University,17,credits,1.1764705882352942,GRO's Info tallies with PVO's search
