id,name
001,Faculty of Arts & Social Sci
002,NUS Business School
003,School of Computing
004,Faculty of Dentistry
006,College of Design and Eng
007,Faculty of Law
008,Yong Loo Lin Sch of Medicine
009,YST Conservatory of Music
010,Faculty of Science
011,LKY School of Public Policy
012,NUS Graduate School
013,Duke-NUS Medical School
015,Residential College
016,SSH School of Public Health
017,Yale-NUS College
019,School of Cont & Lifelong Edun
020,Multi Disciplinary Programme
021,Coll. of Humanities & Sciences
022,NUS College
041,NUS-ISS
047,Risk Management Institute
051,Temasek Defence Sys. Institute
053,The Logistics Inst-Asia Pac
054,NUS Enterprise Academy
057,Mechanobiology Institute (MBI)
NUS,NUS
