Faculty,Partner University,PU Course 1,PU Course 1 Title,PU Crse1 Units,PU Course 2,PU Course 2 Title,PU Crse2 Units,NUS Course 1,NUS Course 1 Title,NUS Crse1 Units,NUS Course 2,NUS Course 2 Title,NUS Crse2 Units,Pre Approved?,Faculty ID,University,University ID
College of Design and Eng,Yonsei University,MEU2600,Mechanics of Materials,3.0,,,,ME2111,,4.0,,,,Y,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,MEU3670,Mechanical Vibration,3.0,,,,ME5107,Vibration Theory and Applicati,4.0,,,,Y,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,CEE2002,Static and Solid Mechanics,3.0,,,,ME2112,Strength of Materials,4.0,,,,Y,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,DAA3830,Reaction Engineering,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,MEU3700,Electromagnetics and electrical systems,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,CEE3404,Industrial Organic Chemistry,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,CEE3414,Quantum mechanics for chemical engineering,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,DAA3810,Microsystem Engineering,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,DAA3780,Mechanics of Solid Materials,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,DAA3650-01,Polymer Engineering,3.0,,,,CN4203R,Polymer Engineering,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,DAA3240,Introduction Biotechnology,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,MEU2660,Electronic Ceramics,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,MST4570,Biomedical Engineering,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,MST4550,Hydraulics,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,MST4510,Physico-chemical water treatment/supply engineering,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,MEU2670,Introduction to Semiconductor Processes,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,MST4490,Nanostructured materials: science and technology,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,MST3470,Medical and Biological Engineering,3.0,,,,CN4991,Exchange Technical Elective Co,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,IEE1173-01,SCIENCE MEDICINE AND SOCIETY,3.0,,,,BN2301,Biochemistry and Biomaterials,4.0,,,,Y,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,AAI2230-01-00,INTRODUCTION TO MATHEMATICS FOR DEEPLEARNING,3.0,,,,EE4802,Learning from Data,4.0,,,,Y,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,CSI4116,COMPUTER VISION,3.0,,,,EE4704,Image Processing and Analysis,4.0,,,,Y,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,CRP6579,Disaster Planning and Policy,3.0,,,,AR5601,Urban Design Theory and Praxis,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,IEE1151,Health and Wellness,3.0,,,,EX1001,Exchange UEM,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,CSI4116-01,Computer Vision,4.0,,,,EE4704,Image Processing and Analysis,4.0,,,,Y,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,ENG2005,Our Village Living Lab,3.0,,,,AR3223,Introduction to Urbanism,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,IEE3391,Global Supply Chain Management,3.0,,,,IE4984,Exchange Elective,4.0,,,,Y,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,STA3143,COMPUTER VISION FOR DATA SCIENCE,3.0,,,,EE4704,Image Processing and Analysis,4.0,,,,Y,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,CRP3750,LAND AND HOUSING POLICY,3.0,,,,AR3223,Introduction to Urbanism,4.0,,,,N,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,AAI2230-01-00,INTRODUCTION TO MATHEMATICS FOR DEEPLEARNING,3.0,,,,EE4211,Data Science for the Internet,4.0,,,,Y,6,Yonsei University,E0000000548
College of Design and Eng,Yonsei University,ARC3106,Design 4,6.0,,,,AR3101,Design 5,8.0,,,,N,6,Yonsei University,E0000000548
