region,country,university,id
Americas,Brazil,FGV-EAESP Sao Paulo,E0000004184
Americas,Brazil,University Of Sao Paulo,E0000002681
Americas,Canada,Concordia University,E0000000700
Americas,Canada,Dalhousie University,E0000000697
Americas,Canada,HEC Montreal,E0000001734
Americas,Canada,McGill University,E0000000694
Americas,Canada,McMaster University,E0000000693
Americas,Canada,Queen's University at Kingston,E0000000687
Americas,Canada,Simon Fraser University,E0000000685
Americas,Canada,University of Alberta,E0000000702
Americas,Canada,The Uni of British Columbia,E0000000701
Americas,Canada,University of Calgary,E0000000699
Americas,Canada,University of Guelph,E0000001735
Americas,Canada,University of Ottawa,E0000000689
Americas,Canada,University of Toronto,E0000000684
Americas,Canada,University of Victoria,E0000000683
Americas,Canada,University of Waterloo,E0000000680
Americas,Canada,Western University,E0000003732
Americas,Canada,York University,E0000000674
Americas,Mexico,ITAM – Autonomous Technological Institute of Mexico,E0000002340
Americas,Mexico,Tecnologio De Monterrey,E0000001896
Americas,USA,Amherst College,E0000001451
Americas,USA,Arizona State University,E0000001449
Americas,USA,Boston College,E0000001300
Americas,USA,Boston University,E0000001446
Americas,USA,Brandeis University,E0000001445
Americas,USA,Carleton College,E0000001885
Americas,USA,Carnegie Mellon University,E0000001428
Americas,USA,Case Western Reserve Uni,E0000001427
Americas,USA,Clarkson University,E0000001893
Americas,USA,Colgate University,E0000003887
Americas,USA,William & Mary,E0000001424
Americas,USA,Cooper Union For the Advc of S,E0000004142
Americas,USA,Cornell University,E0000001440
Americas,USA,Emory University,E0000001416
Americas,USA,Franklin W Olin College of Eng,E0000002443
Americas,USA,The George Washington Uni,E0000001413
Americas,USA,Georgetown University,E0000001411
Americas,USA,Georgia Inst of Technology,E0000001412
Americas,USA,Iowa State University,E0000001319
Americas,USA,Johns Hopkins University,E0000001398
Americas,USA,Michigan State University,E0000001385
Americas,USA,Northwestern University,E0000001379
Americas,USA,The Ohio State University,E0000001373
Americas,USA,The Pennsylvania State Uni,E0000001367
Americas,USA,Princeton University,E0000002667
Americas,USA,Purdue University,E0000001364
Americas,USA,Rice University,E0000001363
Americas,USA,Smith College,E0000001351
Americas,USA,Texas A&M University,E0000001343
Americas,USA,Tulane University,E0000001773
Americas,USA,University of Alaska Fairbanks,E0000003694
Americas,USA,The University of Arizona,E0000001450
Americas,USA,University of California,E0000001439
Americas,USA,University of Colorado Boulder,E0000003204
Americas,USA,University of Connecticut,E0000001421
Americas,USA,University of Delaware,E0000002381
Americas,USA,University of Florida,E0000001414
Americas,USA,University of Georgia,E0000001409
Americas,USA,University of Hawaii at Manoa,E0000001407
Americas,USA,Uni Illinois Urbana-Champaign,E0000001402
Americas,USA,University of Kansas,E0000001397
Americas,USA,University of Maryland,E0000001390
Americas,USA,University of Miami,E0000001388
Americas,USA,University of Michigan,E0000001386
Americas,USA,University of Minnesota,E0000001384
