faculty,country,university
BIZ,Australia,Australian National University
BIZ,Australia,Monash University
BIZ,Australia,Queensland University of Technology
BIZ,Australia,University of Melbourne
BIZ,Australia,University of New South Wales
BIZ,Austria,Vienna University of Economics and Business
BIZ,Belgium,"Catholic University of Louvain, Louvain School of Management"
BIZ,Belgium,University of Antwerp
BIZ,Belgium,"University of Brussels, Solvay Business School"
BIZ,Brazil,FGV EAESP - Fundação Getulio Vargas São Paulo School of Business Administration
BIZ,Canada,HEC Montréal
BIZ,Canada,Queen's University Smith School of Business
BIZ,Canada,Western University Ivey Business School
BIZ,Canada,York University Schulich School of Business
BIZ,China,"Chinese University of Hong Kong, Shenzhen"
BIZ,China,Peking University Guanghua School of Management
BIZ,China,Tsinghua University School of Economics and Management
BIZ,China,"Zhejiang University, International Business School"
BIZ,Denmark,Aarhus University
BIZ,Denmark,Copenhagen Business School
BIZ,Finland,"Aalto University, Helsinki"
BIZ,Finland,"Aalto University, Mikkeli"
BIZ,France,ESSEC Business School
BIZ,France,HEC Paris
BIZ,Germany,European Business School
BIZ,Germany,Mannheim Business School
BIZ,Germany,Technical University of Munich
BIZ,Germany,University of Cologne
BIZ,Germany,WHU-Otto Beisheim School of Management
BIZ,Hong Kong,Chinese University of Hong Kong
BIZ,Hong Kong,City University of Hong Kong College of Business
BIZ,Hong Kong,Hong Kong University of Science and Technology School of Business and Management
BIZ,Hong Kong,University of Hong Kong Business School
BIZ,Hungary,Corvinus University of Budapest
BIZ,Ireland,University College Dublin
BIZ,Italy,University of Commerce 'Luigi Bocconi' Milan
BIZ,Mexico,ITAM – Autonomous Technological Institute of Mexico
BIZ,Netherlands,Maastricht University
BIZ,Netherlands,"Rotterdam School of Management, Erasmus University"
BIZ,Netherlands,Tilburg University
BIZ,New Zealand,University of Auckland
BIZ,Norway,BI Norwegian Business School
BIZ,Norway,Norwegian School of Economics
BIZ,Poland,Warsaw School of Economics
BIZ,Portugal,"Catholic University of Portugal, Católica Lisbon School of Business and Economics"
BIZ,Portugal,Nova School of Business and Economics
BIZ,Slovenia,University of Ljubljana
BIZ,South Korea,Korea University Business School
BIZ,South Korea,Seoul National University Business School
BIZ,South Korea,Yonsei University
BIZ,Spain,ESADE Business School
BIZ,Spain,IE Business School
BIZ,Spain,University of Navarra
BIZ,Sweden,Lund University
BIZ,Sweden,Stockholm School of Economics
BIZ,Sweden,Stockholm University
BIZ,Sweden,Uppsala University
BIZ,Switzerland,University of Lausanne
BIZ,Switzerland,University of St Gallen
BIZ,Taiwan,National Chengchi University College of Commerce
BIZ,Taiwan,National Taiwan University College of Management
BIZ,Turkiye,Sabanci University
BIZ,USA,Michigan State University
BIZ,USA,Tulane University School of Business
BIZ,USA,University of Michigan Ross School of Business
BIZ,USA,University of North Carolina at Chapel Hill Kenan-Flagler Business School
BIZ,USA,"University of Texas at Austin, McCombs School of Business"
BIZ,USA,University of Wisconsin-Madison
BIZ,United Kingdom,City University of London
BIZ,United Kingdom,University of Bath
BIZ,United Kingdom,University of Leeds
BIZ,United Kingdom,University of Manchester
BIZ,United Kingdom,University of Warwick
CDE,Brazil,University of Sao Paulo
CDE,China,Southeast University
CDE,China,Tianjin University
CDE,Czech Republic,Czech Technical University in Prague
CDE,Denmark,Aalborg University
CDE,Denmark,University of Southern Denmark
CDE,Finland,Aalto University
CDE,Finland,Tampere University
CDE,Finland,University of Oulu
CDE,France,ENSCI Les Ateliers - Ecole National Superieure de Creation Industrielle
CDE,France,Ecole Speciale d'Architecture
CDE,France,ISAE-Supaero
CDE,France,Institut Superieur de Design
CDE,France,Strate School of Design
CDE,Germany,Esslingen University of Applied Sciences
CDE,Germany,Technical University of Berlin
CDE,Germany,University of Wuppertal
CDE,Hong Kong,Hong Kong University of Science and Technology
CDE,India,"Indian Institute of Technology, Bombay"
CDE,Italy,Polytechnic University of Milan (Politecnico di Milano)
CDE,Italy,Polytechnic University of Turin (Politecnico di Torino)
CDE,Japan,Kyoto Institute of Technology
CDE,Japan,Meiji University
CDE,South Africa,Stellenbosch University
CDE,South Korea,Ewha Womans University
CDE,South Korea,Hanyang University
CDE,South Korea,University of Seoul
CDE,Spain,UIC Catalunya
CDE,Spain,University of Navarra
CDE,Sweden,Blekinge Institute of Technology
CDE,Sweden,Linkoping University
CDE,Switzerland,ECAL – University of Art and Design Lausanne
CDE,Taiwan,National Taiwan University of Science and Technology
CDE,Taiwan,Tunghai University
CDE,Thailand,Chulalongkorn University
CDE,USA,Cooper Union for the Advancement of Science and Art
CDE,USA,Franklin W. Olin College of Engineering
CDE,USA,Iowa State University
CDE,USA,John Hopkins University
CDE,USA,Ohio State University
CDE,USA,University of Delaware
CDE,USA,University of Minnesota
CDE,USA,University of Pennsylvania
CDE,USA,Vanderbilt University
CDE,United Kingdom,Loughborough University
CDE,United Kingdom,University of Aberdeen
CDE,United Kingdom,University of Southamptom
CDE,United Kingdom,University of Strathclyde
FASS,China,"Chinese University of Hong Kong, Shenzhen"
FASS,France,Sciences Po Bordeaux
FASS,Germany,Georg-August-University
FASS,Indonesia,University of Gadjah Mada
FASS,Italy,Bocconi University
FASS,Japan,Akita International University
FASS,Japan,International Christian University
FASS,Japan,Kwansei Gakuin University
FASS,Japan,Meiji University (School of Global Japanese Studies)
FASS,Japan,Rikkyo University
FASS,Japan,Ritsumeikan University
FASS,Japan,Tokyo University of Foreign Studies
FASS,Netherlands,"Erasmus School of History, Culture and Communication"
FASS,Netherlands,Erasmus School of Social and Behavioural Sciences
FASS,Netherlands,Leiden University
FASS,Netherlands,Maastricht University
FASS,South Korea,Ewha Womans University
FASS,South Korea,Hankuk University of Foreign Studies
FASS,Sweden,Stockholm School of Economics
FASS,Taiwan,National Chengchi University
FASS,USA,University of Kansas
FASS,United Kingdom,Loughborough University
FoS,Australia,La Trobe University
FoS,Australia,University of Newcastle
FoS,Austria,Management Center Innsbruck Internationale Hochschule GmbH
FoS,Germany,Georg-August-University
FoS,Germany,RPTU Kaiserslautern-Landau
FoS,Hong Kong,Chinese University of Hong Kong
FoS,Hong Kong,City University of Hong Kong
FoS,Hong Kong,Hong Kong University of Science and Technology
FoS,Hong Kong,University of Hong Kong
